,raw,label,raw_clean,raw_casefolding,raw_tokenizing,raw_filtering,raw_normalisasi,raw_stimming,Ready
10,Tolong bantu verivikasi akun email untuk reset pin,-1,Tolong bantu verivikasi akun email untuk reset pin,tolong bantu verivikasi akun email untuk reset pin,"['tolong', 'bantu', 'verivikasi', 'akun', 'email', 'untuk', 'reset', 'pin']","['tolong', 'bantu', 'verivikasi', 'akun', 'email', 'reset', 'pin']","['tolong', 'bantu', 'verivikasi', 'akun', 'email', 'reset', 'pin']","['tolong', 'bantu', 'verivikasi', 'akun', 'email', 'reset', 'pin']",tolong bantu verivikasi akun email reset pin
11,maff orng yg membuat nya kurang hebat,-1,maff orng yg membuat nya kurang hebat,maff orng yg membuat nya kurang hebat,"['maff', 'orng', 'yg', 'membuat', 'nya', 'kurang', 'hebat']","['maff', 'orng', 'hebat']","['maff', 'orng', 'hebat']","['maff', 'orng', 'hebat']",maff orng hebat
12,Mudah penggunaannya,1,Mudah penggunaannya,mudah penggunaannya,"['mudah', 'penggunaannya']","['mudah', 'penggunaannya']","['mudah', 'penggunaannya']","['mudah', 'guna']",mudah guna
13,hadeh susah banget sekarang upgrade ...foto nya susah ...gagal mulu,-1,hadeh susah banget sekarang upgrade foto nya susah gagal mulu,hadeh susah banget sekarang upgrade foto nya susah gagal mulu,"['hadeh', 'susah', 'banget', 'sekarang', 'upgrade', 'foto', 'nya', 'susah', 'gagal', 'mulu']","['hadeh', 'susah', 'banget', 'upgrade', 'foto', 'susah', 'gagal', 'mulu']","['hadeh', 'susah', 'banget', 'upgrade', 'foto', 'susah', 'gagal', 'mulu']","['hadeh', 'susah', 'banget', 'upgrade', 'foto', 'susah', 'gagal', 'mulu']",hadeh susah banget upgrade foto susah gagal mulu
14,"Terlalu ribet, semua udah diikuti masih gagal juga, ktp dah di upload foto juga udah diikuti",-1,Terlalu ribet semua udah diikuti masih gagal juga ktp dah di upload foto juga udah diikuti,terlalu ribet semua udah diikuti masih gagal juga ktp dah di upload foto juga udah diikuti,"['terlalu', 'ribet', 'semua', 'udah', 'diikuti', 'masih', 'gagal', 'juga', 'ktp', 'dah', 'di', 'upload', 'foto', 'juga', 'udah', 'diikuti']","['ribet', 'udah', 'diikuti', 'gagal', 'ktp', 'dah', 'upload', 'foto', 'udah', 'diikuti']","['ribet', 'sudah', 'diikuti', 'gagal', 'ktp', 'dah', 'upload', 'foto', 'sudah', 'diikuti']","['ribet', 'sudah', 'ikut', 'gagal', 'ktp', 'dah', 'upload', 'foto', 'sudah', 'ikut']",ribet sudah ikut gagal ktp dah upload foto sudah ikut
15,nice,1,nice,nice,['nice'],['nice'],['nice'],['nice'],nice
16,"Mau daftar ajah di persulit,gimana mau pake ni aplikasi,jadi gak guna",-1,Mau daftar ajah di persulitgimana mau pake ni aplikasijadi gak guna,mau daftar ajah di persulitgimana mau pake ni aplikasijadi gak guna,"['mau', 'daftar', 'ajah', 'di', 'persulitgimana', 'mau', 'pake', 'ni', 'aplikasijadi', 'gak', 'guna']","['daftar', 'ajah', 'persulitgimana', 'pake', 'ni', 'aplikasijadi']","['daftar', 'saja', 'persulitgimana', 'pakai', 'ni', 'aplikasijadi']","['daftar', 'saja', 'persulitgimana', 'pakai', 'ni', 'aplikasijadi']",daftar saja persulitgimana pakai ni aplikasijadi
17,"Mau daftar Awal dibuat susah,kemudian mau upgrade ke full service susahnya nauzubillah, sudah geleng geleng kanan kiri,celangap2 mulut,senyam senyum, masih aje kaga bisa, bagaimana ini jika pas darurat.",-1,Mau daftar Awal dibuat susahkemudian mau upgrade ke full service susahnya nauzubillah sudah geleng geleng kanan kiricelangap mulutsenyam senyum masih aje kaga bisa bagaimana ini jika pas darurat,mau daftar awal dibuat susahkemudian mau upgrade ke full service susahnya nauzubillah sudah geleng geleng kanan kiricelangap mulutsenyam senyum masih aje kaga bisa bagaimana ini jika pas darurat,"['mau', 'daftar', 'awal', 'dibuat', 'susahkemudian', 'mau', 'upgrade', 'ke', 'full', 'service', 'susahnya', 'nauzubillah', 'sudah', 'geleng', 'geleng', 'kanan', 'kiricelangap', 'mulutsenyam', 'senyum', 'masih', 'aje', 'kaga', 'bisa', 'bagaimana', 'ini', 'jika', 'pas', 'darurat']","['daftar', 'susahkemudian', 'upgrade', 'full', 'service', 'susahnya', 'nauzubillah', 'geleng', 'geleng', 'kanan', 'kiricelangap', 'mulutsenyam', 'senyum', 'aje', 'kaga', 'pas', 'darurat']","['daftar', 'susahkemudian', 'upgrade', 'full', 'service', 'susahnya', 'nauzubillah', 'geleng', 'geleng', 'kanan', 'kiricelangap', 'mulutsenyam', 'senyum', 'aje', 'kaga', 'pas', 'darurat']","['daftar', 'susahkemudian', 'upgrade', 'full', 'service', 'susah', 'nauzubillah', 'geleng', 'geleng', 'kanan', 'kiricelangap', 'mulutsenyam', 'senyum', 'aje', 'kaga', 'pas', 'darurat']",daftar susahkemudian upgrade full service susah nauzubillah geleng geleng kanan kiricelangap mulutsenyam senyum aje kaga pas darurat
18,sangat mambantu dan baik,1,sangat mambantu dan baik,sangat mambantu dan baik,"['sangat', 'mambantu', 'dan', 'baik']",['mambantu'],['mambantu'],['mambantu'],mambantu
19,"Aneh,sering gangguan & buat tranksaksi juga gagal mulu",-1,Anehsering gangguan buat tranksaksi juga gagal mulu,anehsering gangguan buat tranksaksi juga gagal mulu,"['anehsering', 'gangguan', 'buat', 'tranksaksi', 'juga', 'gagal', 'mulu']","['anehsering', 'gangguan', 'tranksaksi', 'gagal', 'mulu']","['anehsering', 'gangguan', 'tranksaksi', 'gagal', 'mulu']","['anehsering', 'ganggu', 'tranksaksi', 'gagal', 'mulu']",anehsering ganggu tranksaksi gagal mulu
20,Padahal kode pinya benar tapi gak bisa masuk,-1,Padahal kode pinya benar tapi gak bisa masuk,padahal kode pinya benar tapi gak bisa masuk,"['padahal', 'kode', 'pinya', 'benar', 'tapi', 'gak', 'bisa', 'masuk']","['kode', 'pinya', 'masuk']","['kode', 'pinya', 'masuk']","['kode', 'pinya', 'masuk']",kode pinya masuk
21,Knp saya gak bsa upgrade min,1,Knp saya gak bsa upgrade min,knp saya gak bsa upgrade min,"['knp', 'saya', 'gak', 'bsa', 'upgrade', 'min']","['knp', 'bsa', 'upgrade', 'min']","['kenapa', 'bisa', 'upgrade', 'admin']","['kenapa', 'bisa', 'upgrade', 'admin']",kenapa bisa upgrade admin
22,"Kecewa banget, sdh 6 kali masukkan data lengkap masih ga bisa juga upgrade service full, uang sdh gua transfer lagi, cmn mempersulit aja hadehh",-1,Kecewa banget sdh kali masukkan data lengkap masih ga bisa juga upgrade service full uang sdh gua transfer lagi cmn mempersulit aja hadehh,kecewa banget sdh kali masukkan data lengkap masih ga bisa juga upgrade service full uang sdh gua transfer lagi cmn mempersulit aja hadehh,"['kecewa', 'banget', 'sdh', 'kali', 'masukkan', 'data', 'lengkap', 'masih', 'ga', 'bisa', 'juga', 'upgrade', 'service', 'full', 'uang', 'sdh', 'gua', 'transfer', 'lagi', 'cmn', 'mempersulit', 'aja', 'hadehh']","['kecewa', 'banget', 'kali', 'masukkan', 'data', 'lengkap', 'upgrade', 'service', 'full', 'uang', 'gua', 'transfer', 'cmn', 'mempersulit', 'hadehh']","['kecewa', 'banget', 'kali', 'masukkan', 'data', 'lengkap', 'upgrade', 'service', 'full', 'uang', 'gua', 'transfer', 'cmn', 'mempersulit', 'hadehh']","['kecewa', 'banget', 'kali', 'masuk', 'data', 'lengkap', 'upgrade', 'service', 'full', 'uang', 'gua', 'transfer', 'cmn', 'sulit', 'hadehh']",kecewa banget kali masuk data lengkap upgrade service full uang gua transfer cmn sulit hadehh
23,Siiipp,1,Siiipp,siiipp,['siiipp'],['siiipp'],['siiipp'],['siiipp'],siiipp
24,Linkaja sangat membantu dlm krim uang dan tarik tunai isi pulsa dan masih banyak manfaat lain nya,1,Linkaja sangat membantu dlm krim uang dan tarik tunai isi pulsa dan masih banyak manfaat lain nya,linkaja sangat membantu dlm krim uang dan tarik tunai isi pulsa dan masih banyak manfaat lain nya,"['linkaja', 'sangat', 'membantu', 'dlm', 'krim', 'uang', 'dan', 'tarik', 'tunai', 'isi', 'pulsa', 'dan', 'masih', 'banyak', 'manfaat', 'lain', 'nya']","['linkaja', 'membantu', 'dlm', 'krim', 'uang', 'tarik', 'tunai', 'isi', 'pulsa', 'manfaat']","['linkaja', 'membantu', 'dalam', 'krim', 'uang', 'tarik', 'tunai', 'isi', 'pulsa', 'manfaat']","['linkaja', 'bantu', 'dalam', 'krim', 'uang', 'tarik', 'tunai', 'isi', 'pulsa', 'manfaat']",linkaja bantu dalam krim uang tarik tunai isi pulsa manfaat
25,Baik,1,Baik,baik,['baik'],[],[],[],
26,Oke,1,Oke,oke,['oke'],['oke'],['oke'],['oke'],oke
27,"akun udah full service Ngga bisa tranfer parah banget saldo gw ada 150k mau tf ke bank bca atau bank lain 100k jawaban dari link ajah maaf saat kami tidak dapat memperoses permintaan kamu, silahkan coba lagi. Info lebih lanjut ke email ke link. Terus terusan bgtu wkwk dari lama jadi mls nyesel gw isi saldo di link dan buka rekening",-1,akun udah full service Ngga bisa tranfer parah banget saldo gw ada  mau tf ke bank bca atau bank lain  jawaban dari link ajah maaf saat kami tidak dapat memperoses permintaan kamu silahkan coba lagi Info lebih lanjut ke email ke link Terus terusan bgtu wkwk dari lama jadi mls nyesel gw isi saldo di link dan buka rekening,akun udah full service ngga bisa tranfer parah banget saldo gw ada  mau tf ke bank bca atau bank lain  jawaban dari link ajah maaf saat kami tidak dapat memperoses permintaan kamu silahkan coba lagi info lebih lanjut ke email ke link terus terusan bgtu wkwk dari lama jadi mls nyesel gw isi saldo di link dan buka rekening,"['akun', 'udah', 'full', 'service', 'ngga', 'bisa', 'tranfer', 'parah', 'banget', 'saldo', 'gw', 'ada', 'mau', 'tf', 'ke', 'bank', 'bca', 'atau', 'bank', 'lain', 'jawaban', 'dari', 'link', 'ajah', 'maaf', 'saat', 'kami', 'tidak', 'dapat', 'memperoses', 'permintaan', 'kamu', 'silahkan', 'coba', 'lagi', 'info', 'lebih', 'lanjut', 'ke', 'email', 'ke', 'link', 'terus', 'terusan', 'bgtu', 'wkwk', 'dari', 'lama', 'jadi', 'mls', 'nyesel', 'gw', 'isi', 'saldo', 'di', 'link', 'dan', 'buka', 'rekening']","['akun', 'udah', 'full', 'service', 'ngga', 'tranfer', 'parah', 'banget', 'saldo', 'gw', 'tf', 'bank', 'bca', 'bank', 'link', 'ajah', 'maaf', 'memperoses', 'permintaan', 'silahkan', 'coba', 'info', 'email', 'link', 'terusan', 'bgtu', 'wkwk', 'mls', 'nyesel', 'gw', 'isi', 'saldo', 'link', 'buka', 'rekening']","['akun', 'sudah', 'full', 'service', 'tidak', 'tranfer', 'parah', 'banget', 'saldo', 'gw', 'tf', 'bank', 'bca', 'bank', 'link', 'saja', 'maaf', 'memperoses', 'permintaan', 'silahkan', 'coba', 'info', 'email', 'link', 'terusan', 'begitu', 'wkwk', 'mls', 'nyesel', 'gw', 'isi', 'saldo', 'link', 'buka', 'rekening']","['akun', 'sudah', 'full', 'service', 'tidak', 'tranfer', 'parah', 'banget', 'saldo', 'gw', 'tf', 'bank', 'bca', 'bank', 'link', 'saja', 'maaf', 'memperoses', 'minta', 'silah', 'coba', 'info', 'email', 'link', 'terus', 'begitu', 'wkwk', 'mls', 'nyesel', 'gw', 'isi', 'saldo', 'link', 'buka', 'rekening']",akun sudah full service tidak tranfer parah banget saldo gw tf bank bca bank link saja maaf memperoses minta silah coba info email link terus begitu wkwk mls nyesel gw isi saldo link buka rekening
28,Ã°ÂÂÂ,1,,,[],[],[],[],
29,"Saldo sempet ngga masuk, sudah lapor ke linkaja dan dapat ditindaklanjuti dengan cepat. Makasi banyak",1,Saldo sempet ngga masuk sudah lapor ke linkaja dan dapat ditindaklanjuti dengan cepat Makasi banyak,saldo sempet ngga masuk sudah lapor ke linkaja dan dapat ditindaklanjuti dengan cepat makasi banyak,"['saldo', 'sempet', 'ngga', 'masuk', 'sudah', 'lapor', 'ke', 'linkaja', 'dan', 'dapat', 'ditindaklanjuti', 'dengan', 'cepat', 'makasi', 'banyak']","['saldo', 'sempet', 'ngga', 'masuk', 'lapor', 'linkaja', 'ditindaklanjuti', 'cepat', 'makasi']","['saldo', 'sempet', 'tidak', 'masuk', 'lapor', 'linkaja', 'ditindaklanjuti', 'cepat', 'makasi']","['saldo', 'sempet', 'tidak', 'masuk', 'lapor', 'linkaja', 'ditindaklanjuti', 'cepat', 'makas']",saldo sempet tidak masuk lapor linkaja ditindaklanjuti cepat makas
30,sangat membantu,1,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],['membantu'],['bantu'],bantu
31,Sep,1,Sep,sep,['sep'],['sep'],['sep'],['sep'],sep
32,"Saya 2 kali kecewa dgn link aj... Pertama transaksi pending dri bln Desember, kemarin lagi beli paket telpon Telkomsel... Saldo sdh di potong tapi paket telpon Telkomsel nya bln masuk",-1,Saya kali kecewa dgn link aj Pertama transaksi pending dri bln Desember kemarin lagi beli paket telpon Telkomsel Saldo sdh di potong tapi paket telpon Telkomsel nya bln masuk,saya kali kecewa dgn link aj pertama transaksi pending dri bln desember kemarin lagi beli paket telpon telkomsel saldo sdh di potong tapi paket telpon telkomsel nya bln masuk,"['saya', 'kali', 'kecewa', 'dgn', 'link', 'aj', 'pertama', 'transaksi', 'pending', 'dri', 'bln', 'desember', 'kemarin', 'lagi', 'beli', 'paket', 'telpon', 'telkomsel', 'saldo', 'sdh', 'di', 'potong', 'tapi', 'paket', 'telpon', 'telkomsel', 'nya', 'bln', 'masuk']","['kali', 'kecewa', 'link', 'aj', 'transaksi', 'pending', 'dri', 'bln', 'desember', 'kemarin', 'beli', 'paket', 'telpon', 'telkomsel', 'saldo', 'potong', 'paket', 'telpon', 'telkomsel', 'bln', 'masuk']","['kali', 'kecewa', 'link', 'aj', 'transaksi', 'pending', 'dari   ', 'bulan', 'desember', 'kemarin', 'beli', 'paket', 'telepon', 'telkomsel', 'saldo', 'potong', 'paket', 'telepon', 'telkomsel', 'bulan', 'masuk']","['kali', 'kecewa', 'link', 'aj', 'transaksi', 'pending', 'dari', 'bulan', 'desember', 'kemarin', 'beli', 'paket', 'telepon', 'telkomsel', 'saldo', 'potong', 'paket', 'telepon', 'telkomsel', 'bulan', 'masuk']",kali kecewa link aj transaksi pending dari bulan desember kemarin beli paket telepon telkomsel saldo potong paket telepon telkomsel bulan masuk
33,"Upgrade ke full servicenya susah, perasaan data yang saya pakai sama aja saat daftar di aplikasi manapun, cuma ini linkaja yang verifikasinya susah",-1,Upgrade ke full servicenya susah perasaan data yang saya pakai sama aja saat daftar di aplikasi manapun cuma ini linkaja yang verifikasinya susah,upgrade ke full servicenya susah perasaan data yang saya pakai sama aja saat daftar di aplikasi manapun cuma ini linkaja yang verifikasinya susah,"['upgrade', 'ke', 'full', 'servicenya', 'susah', 'perasaan', 'data', 'yang', 'saya', 'pakai', 'sama', 'aja', 'saat', 'daftar', 'di', 'aplikasi', 'manapun', 'cuma', 'ini', 'linkaja', 'yang', 'verifikasinya', 'susah']","['upgrade', 'full', 'servicenya', 'susah', 'perasaan', 'data', 'pakai', 'daftar', 'aplikasi', 'manapun', 'linkaja', 'verifikasinya', 'susah']","['upgrade', 'full', 'servicenya', 'susah', 'perasaan', 'data', 'pakai', 'daftar', 'aplikasi', 'manapun', 'linkaja', 'verifikasinya', 'susah']","['upgrade', 'full', 'servicenya', 'susah', 'asa', 'data', 'pakai', 'daftar', 'aplikasi', 'mana', 'linkaja', 'verifikasi', 'susah']",upgrade full servicenya susah asa data pakai daftar aplikasi mana linkaja verifikasi susah
34,"Parah banget, udah ngisi saldo tapi gak bsa buat ngirim dan harus upgred giliran di udh ngisi data gagal terus, parah amat sih, udah ngisi saldo malah ga bisa",-1,Parah banget udah ngisi saldo tapi gak bsa buat ngirim dan harus upgred giliran di udh ngisi data gagal terus parah amat sih udah ngisi saldo malah ga bisa,parah banget udah ngisi saldo tapi gak bsa buat ngirim dan harus upgred giliran di udh ngisi data gagal terus parah amat sih udah ngisi saldo malah ga bisa,"['parah', 'banget', 'udah', 'ngisi', 'saldo', 'tapi', 'gak', 'bsa', 'buat', 'ngirim', 'dan', 'harus', 'upgred', 'giliran', 'di', 'udh', 'ngisi', 'data', 'gagal', 'terus', 'parah', 'amat', 'sih', 'udah', 'ngisi', 'saldo', 'malah', 'ga', 'bisa']","['parah', 'banget', 'udah', 'ngisi', 'saldo', 'bsa', 'ngirim', 'upgred', 'giliran', 'udh', 'ngisi', 'data', 'gagal', 'parah', 'udah', 'ngisi', 'saldo']","['parah', 'banget', 'sudah', 'ngisi', 'saldo', 'bisa', 'ngirim', 'upgred', 'giliran', 'sudah', 'ngisi', 'data', 'gagal', 'parah', 'sudah', 'ngisi', 'saldo']","['parah', 'banget', 'sudah', 'ngisi', 'saldo', 'bisa', 'ngirim', 'upgred', 'gilir', 'sudah', 'ngisi', 'data', 'gagal', 'parah', 'sudah', 'ngisi', 'saldo']",parah banget sudah ngisi saldo bisa ngirim upgred gilir sudah ngisi data gagal parah sudah ngisi saldo
35,"Aplikasi yang digunakan penipuan diorderan fiktif GOSHOP. Pihak developer nya masih dungu dan tutup mata. Saya driver gojek yang pernah kena tipu 150 rb topup via indomaret. Nyari duit 150 rb capeknya kayak apa coba digojek. Call center ditelpon cuma menguras pulsa aja, kalo pulsa habis gak ditelpon balik dan gak ada solusi. Benahi woy aplikasinya. Minimal kalo topup via indomaret ada atas nama PENERIMAnya. Kalo masih gini-gini aja gak ada bedanya developer sama penipu.",-1,Aplikasi yang digunakan penipuan diorderan fiktif GOSHOP Pihak developer nya masih dungu dan tutup mata Saya driver gojek yang pernah kena tipu rb topup via indomaret Nyari duit rb capeknya kayak apa coba digojek Call center ditelpon cuma menguras pulsa aja kalo pulsa habis gak ditelpon balik dan gak ada solusi Benahi woy aplikasinya Minimal kalo topup via indomaret ada atas nama PENERIMAnya Kalo masih ginigini aja gak ada bedanya developer sama penipu,aplikasi yang digunakan penipuan diorderan fiktif goshop pihak developer nya masih dungu dan tutup mata saya driver gojek yang pernah kena tipu rb topup via indomaret nyari duit rb capeknya kayak apa coba digojek call center ditelpon cuma menguras pulsa aja kalo pulsa habis gak ditelpon balik dan gak ada solusi benahi woy aplikasinya minimal kalo topup via indomaret ada atas nama penerimanya kalo masih ginigini aja gak ada bedanya developer sama penipu,"['aplikasi', 'yang', 'digunakan', 'penipuan', 'diorderan', 'fiktif', 'goshop', 'pihak', 'developer', 'nya', 'masih', 'dungu', 'dan', 'tutup', 'mata', 'saya', 'driver', 'gojek', 'yang', 'pernah', 'kena', 'tipu', 'rb', 'topup', 'via', 'indomaret', 'nyari', 'duit', 'rb', 'capeknya', 'kayak', 'apa', 'coba', 'digojek', 'call', 'center', 'ditelpon', 'cuma', 'menguras', 'pulsa', 'aja', 'kalo', 'pulsa', 'habis', 'gak', 'ditelpon', 'balik', 'dan', 'gak', 'ada', 'solusi', 'benahi', 'woy', 'aplikasinya', 'minimal', 'kalo', 'topup', 'via', 'indomaret', 'ada', 'atas', 'nama', 'penerimanya', 'kalo', 'masih', 'ginigini', 'aja', 'gak', 'ada', 'bedanya', 'developer', 'sama', 'penipu']","['aplikasi', 'penipuan', 'diorderan', 'fiktif', 'goshop', 'developer', 'dungu', 'tutup', 'mata', 'driver', 'gojek', 'kena', 'tipu', 'rb', 'topup', 'via', 'indomaret', 'nyari', 'duit', 'rb', 'capeknya', 'kayak', 'coba', 'digojek', 'call', 'center', 'ditelpon', 'menguras', 'pulsa', 'pulsa', 'habis', 'ditelpon', 'solusi', 'benahi', 'woy', 'aplikasinya', 'minimal', 'topup', 'via', 'indomaret', 'nama', 'penerimanya', 'ginigini', 'bedanya', 'developer', 'penipu']","['aplikasi', 'penipuan', 'diorderan', 'fiktif', 'goshop', 'developer', 'dungu', 'tutup', 'mata', 'driver', 'gojek', 'kena', 'tipu', 'rb', 'topup', 'via', 'indomaret', 'nyari', 'duit', 'rb', 'capeknya', 'seperti', 'coba', 'digojek', 'call', 'center', 'ditelpon', 'menguras', 'pulsa', 'pulsa', 'habis', 'ditelpon', 'solusi', 'benahi', 'woy', 'aplikasinya', 'minimal', 'topup', 'via', 'indomaret', 'nama', 'penerimanya', 'ginigini', 'bedanya', 'developer', 'penipu']","['aplikasi', 'tipu', 'order', 'fiktif', 'goshop', 'developer', 'dungu', 'tutup', 'mata', 'driver', 'gojek', 'kena', 'tipu', 'rb', 'topup', 'via', 'indomaret', 'nyari', 'duit', 'rb', 'capek', 'seperti', 'coba', 'gojek', 'call', 'center', 'telpon', 'uras', 'pulsa', 'pulsa', 'habis', 'telpon', 'solusi', 'benah', 'woy', 'aplikasi', 'minimal', 'topup', 'via', 'indomaret', 'nama', 'terima', 'ginigini', 'beda', 'developer', 'tipu']",aplikasi tipu order fiktif goshop developer dungu tutup mata driver gojek kena tipu rb topup via indomaret nyari duit rb capek seperti coba gojek call center telpon uras pulsa pulsa habis telpon solusi benah woy aplikasi minimal topup via indomaret nama terima ginigini beda developer tipu
36,Gooods...link aj transaksi apa2 mudah trimakasih,1,Gooodslink aj transaksi apa mudah trimakasih,gooodslink aj transaksi apa mudah trimakasih,"['gooodslink', 'aj', 'transaksi', 'apa', 'mudah', 'trimakasih']","['gooodslink', 'aj', 'transaksi', 'mudah', 'trimakasih']","['gooodslink', 'aj', 'transaksi', 'mudah', 'terima kasih']","['gooodslink', 'aj', 'transaksi', 'mudah', 'terima kasih']",gooodslink aj transaksi mudah terima kasih
37,burukk otp aja sampe 1 jam gak nyampe2 apalagi top up,-1,burukk otp aja sampe jam gak nyampe apalagi top up,burukk otp aja sampe jam gak nyampe apalagi top up,"['burukk', 'otp', 'aja', 'sampe', 'jam', 'gak', 'nyampe', 'apalagi', 'top', 'up']","['burukk', 'otp', 'sampe', 'jam', 'nyampe', 'top', 'up']","['burukk', 'otp', 'sampe', 'jam', 'nyampe', 'top', 'up']","['burukk', 'otp', 'sampe', 'jam', 'nyampe', 'top', 'up']",burukk otp sampe jam nyampe top up
38,Mantap ..,1,Mantap,mantap,['mantap'],['mantap'],['mantap'],['mantap'],mantap
